Município;2016;2017;2018;2019;2020;2021;2022;2023;media
350730 BORACEIA;638;658;675;700;712;728;742;758;701,375
350740 BORBOREMA;2552;2639;2732;2829;2917;2997;3072;3162;2862,5
350745 BOREBI;311;318;331;348;367;378;389;395;354,625
350750 BOTUCATU;21030;21808;22595;23400;24157;24802;25431;26167;23673,75
350760 BRAGANCA PAULISTA;23571;24562;25612;26713;27779;28721;29665;30738;27170,125
350770 BRAUNA;937;963;990;1018;1042;1061;1078;1095;1023
350775 BREJO ALEGRE;406;423;438;454;475;494;507;517;464,25
350780 BRODOWSKI;3307;3464;3619;3782;3943;4088;4226;4380;3851,125
350790 BROTAS;3444;3587;3734;3878;4017;4144;4276;4418;3937,25
350800 BURI;2252;2324;2403;2487;2565;2627;2699;2786;2517,875
350810 BURITAMA;2801;2917;3052;3200;3348;3477;3606;3743;3268
350820 BURITIZAL;738;763;787;814;837;858;876;898;821,375
350830 CABRALIA PAULISTA;624;637;660;669;694;713;727;748;684
350840 CABREUVA;4450;4659;4887;5121;5351;5563;5792;6065;5236
350850 CACAPAVA;12697;13261;13844;14447;15028;15556;16075;16678;14698,25
350860 CACHOEIRA PAULISTA;4752;4912;5082;5255;5423;5562;5713;5899;5324,75
350870 CACONDE;3167;3255;3349;3449;3541;3616;3684;3770;3478,875
350880 CAFELANDIA;2843;2912;2982;3053;3114;3160;3214;3281;3069,875
350890 CAIABU;704;725;746;770;791;806;826;854;777,75
350900 CAIEIRAS;9788;10354;10942;11545;12150;12711;13295;13971;11844,5
350910 CAIUA;807;832;851;874;902;922;948;986;890,25
350920 CAJAMAR;6299;6733;7197;7684;8181;8656;9155;9705;7951,25
350925 CAJATI;3580;3689;3799;3912;4019;4109;4199;4321;3953,5
350930 CAJOBI;1635;1678;1727;1776;1825;1861;1897;1947;1793,25
350940 CAJURU;3433;3541;3650;3769;3880;3973;4071;4189;3813,25
350945 CAMPINA DO MONTE ALEGRE;863;896;929;961;996;1022;1056;1090;976,625
350950 CAMPINAS;169926;176240;182615;188991;195016;200081;205082;211014;191120,625
350960 CAMPO LIMPO PAULISTA;9386;9855;10329;10805;11268;11671;12066;12506;10985,75
350970 CAMPOS DO JORDAO;5609;5853;6101;6354;6601;6819;7046;7306;6461,125
350980 CAMPOS NOVOS PAULISTA;745;770;790;808;832;851;868;890;819,25
350990 CANANEIA;1901;1973;2040;2109;2178;2236;2296;2365;2137,25
350995 CANAS;502;524;550;579;606;633;663;686;592,875
351000 CANDIDO MOTA;5023;5174;5326;5482;5635;5761;5887;6046;5541,75
351010 CANDIDO RODRIGUES;581;599;619;639;658;671;693;705;645,625
351015 CANITAR;517;538;567;591;617;637;666;695;603,5
351020 CAPAO BONITO;6344;6524;6709;6897;7075;7217;7358;7541;6958,125
351030 CAPELA DO ALTO;2349;2468;2592;2721;2860;2980;3104;3252;2790,75
351040 CAPIVARI;6462;6702;6957;7225;7487;7714;7948;8229;7340,5
351050 CARAGUATATUBA;15745;16667;17617;18599;19585;20487;21378;22347;19053,125
351060 CARAPICUIBA;40617;42555;44455;46337;48135;49727;51336;53213;47046,875
351070 CARDOSO;2396;2470;2539;2614;2681;2730;2786;2852;2633,5
351080 CASA BRANCA;4617;4725;4840;4960;5076;5162;5254;5381;5001,875
351090 CASSIA DOS COQUEIROS;517;539;558;586;611;631;650;669;595,125
351100 CASTILHO;2925;3043;3172;3303;3436;3549;3665;3798;3361,375
351110 CATANDUVA;20005;20515;21043;21578;22066;22456;22854;23394;21738,875
351120 CATIGUA;1057;1090;1122;1155;1188;1209;1239;1280;1167,5
351130 CEDRAL;1626;1694;1771;1849;1934;2004;2071;2152;1887,625
351140 CERQUEIRA CESAR;2786;2886;2993;3097;3205;3300;3386;3495;3143,5
351150 CERQUILHO;6023;6303;6589;6883;7168;7422;7673;7950;7001,375
351160 CESARIO LANGE;2306;2409;2513;2617;2722;2814;2908;3020;2663,625
351170 CHARQUEADA;2087;2164;2240;2315;2390;2449;2516;2598;2344,875
351190 CLEMENTINA;927;962;994;1042;1081;1111;1147;1193;1057,125
351200 COLINA;2713;2796;2879;2966;3059;3133;3211;3311;3008,5
351210 COLOMBIA;837;878;909;956;1002;1034;1075;1118;976,125
351220 CONCHAL;3217;3339;3469;3602;3728;3847;3964;4105;3658,875
351230 CONCHAS;2753;2822;2904;2990;3064;3125;3192;3268;3014,75
351240 CORDEIROPOLIS;2903;3003;3112;3222;3323;3413;3509;3623;3263,5
351250 COROADOS;835;868;900;934;967;985;1018;1047;944,25
351260 CORONEL MACEDO;786;811;832;857;882;895;917;936;864,5
351270 CORUMBATAI;579;593;613;632;653;669;692;713;643
351280 COSMOPOLIS;7129;7434;7759;8087;8411;8701;8998;9357;8234,5
351290 COSMORAMA;1570;1617;1660;1704;1746;1772;1802;1844;1714,375
351300 COTIA;23538;25071;26671;28328;29997;31572;33187;34988;29169
351310 CRAVINHOS;4546;4731;4928;5134;5340;5518;5696;5898;5223,875
351320 CRISTAIS PAULISTA;1141;1209;1270;1346;1414;1478;1540;1610;1376
351330 CRUZALIA;408;426;439;452;473;488;507;517;463,75
351340 CRUZEIRO;11878;12305;12741;13173;13589;13939;14286;14703;13326,75
351350 CUBATAO;12366;12895;13415;13932;14421;14863;15330;15912;14141,75
351360 CUNHA;3615;3733;3858;3990;4115;4231;4353;4505;4050
351370 DESCALVADO;5272;5440;5608;5785;5944;6080;6213;6380;5840,25
351380 DIADEMA;41008;43090;45208;47353;49443;51331;53262;55465;48270
351385 DIRCE REIS;350;359;366;370;375;379;384;386;371,125
351390 DIVINOLANDIA;2125;2188;2256;2321;2384;2431;2475;2532;2339
351400 DOBRADA;891;930;965;1009;1046;1076;1114;1158;1023,625
351410 DOIS CORREGOS;3819;3916;4019;4134;4230;4315;4399;4506;4167,25
351420 DOLCINOPOLIS;429;439;454;470;479;487;500;507;470,625
351430 DOURADO;1526;1562;1595;1631;1665;1689;1715;1753;1642
351440 DRACENA;8381;8608;8851;9097;9331;9518;9699;9918;9175,375
351450 DUARTINA;2391;2456;2523;2599;2664;2715;2768;2833;2618,625
351460 DUMONT;1053;1106;1153;1209;1262;1301;1345;1398;1228,375
351470 ECHAPORA;1081;1102;1126;1151;1173;1191;1209;1234;1158,375
351480 ELDORADO;2020;2057;2087;2122;2153;2176;2195;2236;2130,75
351490 ELIAS FAUSTO;2030;2124;2222;2323;2431;2526;2624;2740;2377,5
351492 ELISIARIO;523;535;548;561;569;577;588;597;562,25
351495 EMBAUBA;427;442;455;471;484;496;509;520;475,5
351500 EMBU DAS ARTES;23399;24655;25904;27146;28352;29443;30543;31775;27652,125
351510 EMBU-GUACU;7770;8103;8444;8800;9144;9453;9758;10102;8946,75
351512 EMILIANOPOLIS;591;611;624;648;667;684;701;721;655,875
351515 ENGENHEIRO COELHO;1577;1664;1760;1862;1961;2064;2166;2283;1917,125
351518 ESPIRITO SANTO DO PINHAL;7111;7293;7488;7687;7867;8009;8150;8345;7743,75
351519 ESPIRITO SANTO DO TURVO;483;500;515;528;549;554;580;586;536,875
351520 ESTRELA D'OESTE;1533;1581;1631;1680;1728;1775;1817;1876;1702,625
351530 ESTRELA DO NORTE;382;398;418;440;462;476;497;516;448,625
351535 EUCLIDES DA CUNHA PAULISTA;1289;1316;1350;1376;1410;1432;1453;1497;1390,375
351540 FARTURA;2711;2810;2911;3023;3131;3218;3307;3403;3064,25
351550 FERNANDOPOLIS;12385;12764;13161;13558;13927;14231;14523;14882;13678,875
351560 FERNANDO PRESTES;1163;1182;1206;1233;1252;1260;1282;1299;1234,625
351565 FERNAO;289;296;308;312;323;333;332;332;315,625
351570 FERRAZ DE VASCONCELOS;16656;17582;18526;19496;20441;21315;22214;23220;19931,25
351580 FLORA RICA;375;380;383;392;399;402;405;405;392,625
351590 FLOREAL;733;750;764;784;796;808;825;834;786,75
351600 FLORIDA PAULISTA;2037;2089;2150;2217;2279;2338;2392;2458;2245
351610 FLORINEA;489;502;516;535;548;560;577;583;538,75
351620 FRANCA;46603;48588;50637;52734;54767;56554;58352;60434;53583,625
351630 FRANCISCO MORATO;14417;15301;16190;17088;17972;18761;19553;20393;17459,375
351640 FRANCO DA ROCHA;13837;14529;15209;15887;16529;17091;17653;18288;16127,875
351650 GABRIEL MONTEIRO;558;574;586;596;610;622;634;643;602,875
351660 GALIA;1325;1355;1382;1412;1435;1447;1463;1482;1412,625
351670 GARCA;7435;7635;7835;8042;8224;8358;8493;8665;8085,875
351680 GASTAO VIDIGAL;648;664;671;683;700;705;720;728;689,875
351685 GAVIAO PEIXOTO;547;572;595;621;646;666;691;717;631,875
351690 GENERAL SALGADO;1984;2047;2108;2174;2237;2292;2342;2407;2198,875
351700 GETULINA;1659;1699;1739;1787;1829;1861;1892;1930;1799,5
351710 GLICERIO;770;792;822;845;872;886;904;926;852,125
351720 GUAICARA;1474;1522;1575;1627;1684;1728;1776;1834;1652,5
351730 GUAIMBE;894;926;952;988;1023;1048;1072;1102;1000,625
351740 GUAIRA;5641;5833;6037;6237;6436;6603;6782;6993;6320,25
351750 GUAPIACU;2783;2878;2984;3092;3190;3281;3368;3475;3131,375
351760 GUAPIARA;2587;2653;2734;2811;2890;2956;3022;3119;2846,5
351770 GUARA;2667;2752;2841;2923;2997;3062;3125;3204;2946,375
351780 GUARACAI;1672;1715;1747;1789;1823;1849;1868;1904;1795,875
351790 GUARACI;1568;1621;1689;1751;1815;1868;1922;1985;1777,375
351800 GUARANI D'OESTE;383;392;404;415;431;441;452;454;421,5
351810 GUARANTA;953;985;1021;1048;1086;1109;1136;1162;1062,5
351820 GUARARAPES;5311;5467;5630;5792;5957;6094;6234;6411;5862
351830 GUARAREMA;4034;4244;4465;4693;4924;5134;5345;5580;4802,375
351840 GUARATINGUETA;18066;18732;19427;20144;20835;21430;22020;22706;20420
351850 GUAREI;1791;1860;1936;2011;2083;2150;2207;2287;2040,625
351860 GUARIBA;4134;4310;4501;4706;4901;5085;5268;5490;4799,375
351870 GUARUJA;33968;35300;36692;38118;39488;40690;41929;43392;38697,125
351880 GUARULHOS;136024;142539;149208;155988;162582;168493;174493;181350;158834,625
351885 GUATAPARA;1039;1090;1132;1182;1227;1266;1300;1346;1197,75
351890 GUZOLANDIA;725;746;764;782;804;817;830;847;789,375
351900 HERCULANDIA;1329;1372;1415;1465;1515;1564;1602;1658;1490
351905 HOLAMBRA;1528;1642;1747;1856;1963;2071;2175;2288;1908,75
351907 HORTOLANDIA;20743;22005;23326;24693;26064;27350;28662;30111;25369,25
351910 IACANGA;1604;1643;1685;1730;1773;1807;1843;1892;1747,125
351920 IACRI;1144;1169;1201;1239;1269;1289;1320;1351;1247,75
351925 IARAS;811;863;920;975;1037;1090;1147;1212;1006,875
351930 IBATE;3420;3556;3702;3855;4005;4143;4277;4451;3926,125
351940 IBIRA;2030;2095;2160;2231;2298;2354;2410;2477;2256,875
351950 IBIRAREMA;1078;1105;1128;1159;1185;1204;1232;1272;1170,375
351960 IBITINGA;8155;8439;8743;9057;9362;9630;9895;10215;9187
351970 IBIUNA;10119;10535;10973;11426;11862;12242;12629;13077;11607,875
351980 ICEM;1093;1137;1173;1216;1252;1282;1317;1359;1228,625
351990 IEPE;1354;1392;1436;1476;1512;1549;1583;1626;1491
352000 IGARACU DO TIETE;2904;3017;3151;3290;3433;3561;3701;3859;3364,5
352010 IGARAPAVA;4387;4506;4640;4774;4903;5008;5116;5248;4822,75
352020 IGARATA;1437;1504;1579;1659;1738;1801;1872;1940;1691,25
352030 IGUAPE;5223;5377;5540;5707;5864;5993;6120;6289;5764,125
352040 ILHABELA;3218;3405;3605;3808;4019;4206;4407;4628;3912
