Município;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
350440 AVANHANDAVA;1003;1035;1063;1100;1135;1175;1212;1252;1291;1336;1383;1429;1476;1519;1566;1600;1653;1709;1773
350450 AVARE;9575;9886;10207;10554;10918;11306;11710;12128;12561;13008;13466;13955;14449;14917;15314;15713;16191;16708;17181
350460 BADY BASSITT;1439;1506;1575;1652;1731;1822;1942;2073;2219;2373;2536;2714;2910;3100;3293;3475;3669;3857;3937
350470 BALBINOS;212;219;225;232;239;249;258;270;280;289;292;299;310;311;321;325;327;346;357
350480 BALSAMO;1222;1256;1295;1327;1369;1405;1442;1484;1529;1573;1619;1669;1725;1781;1823;1872;1929;2000;2050
350490 BANANAL;1343;1378;1416;1452;1485;1527;1559;1593;1638;1674;1716;1763;1807;1855;1890;1928;1987;2043;2101
350500 BARAO DE ANTONINA;421;433;442;455;469;490;506;529;549;572;592;609;640;661;680;696;710;732;747
350510 BARBOSA;780;801;827;855;879;893;914;926;951;964;982;1002;1021;1040;1052;1069;1093;1120;1145
350520 BARIRI;4546;4628;4721;4808;4900;5008;5119;5231;5354;5477;5607;5753;5906;6055;6172;6288;6442;6598;6784
350530 BARRA BONITA;4544;4674;4819;4964;5117;5277;5449;5629;5819;6018;6218;6429;6648;6852;7034;7217;7439;7674;7947
350535 BARRA DO CHAPEU;554;570;584;602;617;632;640;656;668;679;694;708;731;747;756;771;791;825;850
350540 BARRA DO TURVO;982;1007;1039;1067;1098;1123;1146;1169;1194;1219;1244;1264;1285;1310;1322;1335;1356;1391;1420
350550 BARRETOS;14307;14668;15053;15451;15868;16292;16743;17206;17676;18171;18687;19237;19814;20366;20823;21298;21896;22545;23164
350560 BARRINHA;1910;1975;2055;2132;2227;2321;2435;2552;2676;2805;2950;3106;3268;3437;3592;3756;3937;4124;4309
350570 BARUERI;14116;15031;16018;17085;18258;19527;20874;22306;23823;25430;27128;28893;30727;32559;34286;36059;37991;40010;41789
350580 BASTOS;2383;2450;2515;2593;2676;2772;2880;2987;3099;3216;3343;3478;3612;3740;3861;3974;4113;4257;4406
350590 BATATAIS;7121;7351;7585;7835;8091;8364;8650;8954;9262;9588;9911;10250;10589;10908;11170;11417;11710;12017;12338
350600 BAURU;40946;42222;43569;44967;46424;47965;49605;51312;53074;54891;56775;58719;60708;62599;64195;65777;67673;69686;71579
350610 BEBEDOURO;9676;9950;10228;10524;10826;11145;11478;11827;12184;12548;12917;13296;13675;14024;14301;14580;14930;15307;15713
350620 BENTO DE ABREU;314;319;323;328;335;348;360;364;373;382;394;400;414;424;431;440;441;466;482
350630 BERNARDINO DE CAMPOS;1773;1795;1822;1849;1875;1906;1941;1973;2006;2042;2070;2110;2143;2178;2198;2227;2268;2326;2381
350635 BERTIOGA;2809;3035;3275;3528;3788;4070;4359;4683;5023;5393;5781;6194;6626;7076;7508;7947;8432;8953;9378
350640 BILAC;1040;1074;1111;1141;1175;1212;1249;1288;1330;1368;1407;1451;1500;1541;1574;1600;1635;1673;1720
350650 BIRIGUI;12145;12642;13166;13693;14223;14767;15339;15930;16534;17167;17815;18479;19172;19833;20408;20996;21714;22497;23286
350660 BIRITIBA MIRIM;2831;2972;3118;3262;3398;3519;3643;3772;3902;4047;4188;4347;4503;4657;4790;4929;5096;5274;5468
350670 BOA ESPERANCA DO SUL;1313;1348;1386;1427;1476;1527;1585;1638;1692;1750;1810;1862;1918;1970;2014;2062;2124;2191;2266
350680 BOCAINA;1269;1297;1324;1360;1401;1445;1485;1532;1585;1632;1689;1746;1800;1858;1896;1946;2006;2062;2128
350690 BOFETE;1187;1261;1337;1410;1468;1527;1587;1652;1720;1792;1867;1945;2021;2096;2162;2229;2296;2368;2437
350700 BOITUVA;4052;4273;4508;4766;5044;5343;5673;6025;6396;6787;7192;7619;8059;8501;8909;9323;9779;10268;10679
