 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2025 - Brasil
População residente por Município e Ano
Unidade da Federação: São Paulo
Idade simples: Menos que 1 ano de idade, 1  ano, 2  anos, 3  anos, 4  anos, 5  anos, 6  anos, 7  anos, 8  anos, 9  anos, 10 anos, 11 anos, 12 anos
Período:2015-2019
"Município";"2015";"2016";"2017";"2018";"2019"
"354330 RIBEIRAO PIRES";20176;19983;19794;19646;19500
"354340 RIBEIRAO PRETO";111116;111806;112350;112860;113244
"354350 RIVERSUL";1191;1165;1143;1128;1112
"354360 RIFAINA";646;652;652;656;660
"354370 RINCAO";1967;1910;1857;1803;1755
"354380 RINOPOLIS";1600;1573;1546;1525;1502
"354390 RIO CLARO";33311;33348;33374;33438;33497
"354400 RIO DAS PEDRAS";6186;6158;6123;6084;6036
"354410 RIO GRANDE DA SERRA";9452;9321;9185;9043;8893
"354420 RIOLANDIA";1793;1741;1689;1643;1594
"354425 ROSANA";3471;3360;3271;3201;3145
"354430 ROSEIRA";2036;2047;2057;2066;2073
"354440 RUBIACEA";539;539;537;538;541
"354450 RUBINEIA";472;477;487;501;525
"354460 SABINO";906;901;889;875;865
"354470 SAGRES";423;423;426;431;436
"354480 SALES";1049;1054;1062;1059;1060
"354490 SALES OLIVEIRA";1907;1909;1903;1898;1898
"354500 SALESOPOLIS";3105;3041;2975;2919;2870
"354510 SALMOURAO";878;867;859;854;854
"354515 SALTINHO";1178;1184;1194;1207;1217
"354520 SALTO";21521;21856;22201;22601;23021
"354530 SALTO DE PIRAPORA";8226;8201;8169;8135;8082
"354540 SALTO GRANDE";1699;1677;1654;1641;1634
"354550 SANDOVALINA";791;786;777;772;765
"354560 SANTA ADELIA";2521;2487;2450;2415;2381
"354570 SANTA ALBERTINA";915;931;947;972;995
"354580 SANTA BARBARA D'OESTE";30938;30755;30595;30524;30488
"354600 SANTA BRANCA";2524;2480;2434;2393;2356
"354610 SANTA CLARA D'OESTE";358;366;378;395;416
"354620 SANTA CRUZ DA CONCEICAO";696;693;677;664;650
"354625 SANTA CRUZ DA ESPERANCA";409;407;406;405;399
"354630 SANTA CRUZ DAS PALMEIRAS";5810;5716;5613;5507;5403
"354640 SANTA CRUZ DO RIO PARDO";8459;8433;8400;8374;8348
"354650 SANTA ERNESTINA";1115;1108;1100;1092;1089
"354660 SANTA FE DO SUL";4827;4897;4985;5105;5246
"354670 SANTA GERTRUDES";4658;4648;4636;4618;4602
"354680 SANTA ISABEL";10177;10096;10008;9936;9866
"354690 SANTA LUCIA";1553;1509;1466;1420;1374
"354700 SANTA MARIA DA SERRA";1137;1126;1109;1095;1073
"354710 SANTA MERCEDES";550;548;543;542;541
"354720 SANTANA DA PONTE PENSA";211;211;215;216;216
"354730 SANTANA DE PARNAIBA";26659;27330;27961;28558;29104
"354740 SANTA RITA D'OESTE";321;327;328;334;344
"354750 SANTA RITA DO PASSA QUATRO";3930;3877;3822;3771;3730
"354760 SANTA ROSA DE VITERBO";4205;4170;4129;4085;4039
"354765 SANTA SALETE";211;213;217;223;228
"354770 SANTO ANASTACIO";3152;3068;2992;2936;2895
"354780 SANTO ANDRE";118947;119054;118968;118810;118518
"354790 SANTO ANTONIO DA ALEGRIA";1141;1142;1146;1157;1167
"354800 SANTO ANTONIO DE POSSE";4241;4235;4227;4223;4223
"354805 SANTO ANTONIO DO ARACANGUA";1417;1424;1433;1441;1455
"354810 SANTO ANTONIO DO JARDIM";1029;1021;1007;998;994
"354820 SANTO ANTONIO DO PINHAL";1255;1239;1225;1216;1212
"354830 SANTO EXPEDITO";474;470;469;470;470
"354840 SANTOPOLIS DO AGUAPEI";831;820;804;791;777
"354850 SANTOS";62261;61822;61314;60802;60258
"354860 SAO BENTO DO SAPUCAI";1890;1883;1878;1879;1877
"354870 SAO BERNARDO DO CAMPO";143566;142903;141950;140820;139452
"354880 SAO CAETANO DO SUL";21824;22173;22525;22912;23309
"354890 SAO CARLOS";40360;40592;40796;41053;41302
"354900 SAO FRANCISCO";426;416;404;396;388
"354910 SAO JOAO DA BOA VISTA";14055;14062;14084;14156;14258
"354920 SAO JOAO DAS DUAS PONTES";406;402;398;396;399
"354925 SAO JOAO DE IRACEMA";310;309;312;315;318
"354930 SAO JOAO DO PAU D'ALHO";297;295;299;303;312
"354940 SAO JOAQUIM DA BARRA";8706;8674;8617;8541;8454
"354950 SAO JOSE DA BELA VISTA";1848;1800;1750;1701;1645
"354960 SAO JOSE DO BARREIRO";802;781;759;746;740
"354970 SAO JOSE DO RIO PARDO";8609;8566;8544;8554;8587
"354980 SAO JOSE DO RIO PRETO";71081;72009;72917;73923;74928
"354990 SAO JOSE DOS CAMPOS";125700;125803;125783;125799;125716
"354995 SAO LOURENCO DA SERRA";2911;2911;2908;2910;2914
"355000 SAO LUIS DO PARAITINGA";1660;1625;1597;1578;1570
"355010 SAO MANUEL";6990;6893;6803;6729;6667
"355020 SAO MIGUEL ARCANJO";6650;6562;6473;6394;6320
"355030 SAO PAULO";2075926;2055943;2033686;2012332;1989614
"355040 SAO PEDRO";5997;6032;6060;6099;6139
"355050 SAO PEDRO DO TURVO";1432;1414;1399;1393;1392
"355060 SAO ROQUE";14212;14130;14070;14058;14070
"355070 SAO SEBASTIAO";16492;16496;16464;16414;16345
"355080 SAO SEBASTIAO DA GRAMA";2028;1963;1903;1844;1792
"355090 SAO SIMAO";2554;2494;2437;2370;2299
"355100 SAO VICENTE";64813;63984;63097;62247;61371
"355110 SARAPUI";1972;1965;1962;1959;1956
"355120 SARUTAIA";718;708;693;681;669
"355130 SEBASTIANOPOLIS DO SUL";489;495;503;512;520
"355140 SERRA AZUL";1965;1933;1901;1865;1826
"355150 SERRANA";8920;8942;8931;8887;8810
"355160 SERRA NEGRA";4413;4414;4424;4444;4471
"355170 SERTAOZINHO";22364;22547;22695;22827;22922
"355180 SETE BARRAS";2929;2878;2822;2778;2739
"355190 SEVERINIA";3007;2946;2887;2833;2784
"355200 SILVEIRAS";1184;1165;1153;1140;1133
"355210 SOCORRO";6132;6129;6120;6117;6113
"355220 SOROCABA";117063;118421;119744;121214;122674
"355230 SUD MENNUCCI";1346;1335;1322;1311;1311
"355240 SUMARE";52166;52521;52734;52818;52763
"355250 SUZANO";58795;58941;59057;59246;59415
"355255 SUZANAPOLIS";629;622;613;604;595
"355260 TABAPUA";1898;1889;1878;1857;1828
"355270 TABATINGA";2778;2762;2747;2744;2752
"355280 TABOAO DA SERRA";53394;53259;52967;52535;51960
"355290 TACIBA";1128;1134;1142;1151;1170
"355300 TAGUAI";2404;2425;2443;2458;2466
"355310 TAIACU";1010;987;973;963;960
"355320 TAIUVA";842;842;844;849;854
"355330 TAMBAU";4085;4032;3982;3945;3903
"355340 TANABI";3920;3942;3976;4023;4090
"355350 TAPIRAI";1803;1762;1731;1702;1676
"355360 TAPIRATIBA";2048;2002;1962;1933;1909
"355365 TAQUARAL";481;474;459;450;440
"355370 TAQUARITINGA";9638;9496;9349;9205;9067
"355380 TAQUARITUBA";4301;4266;4233;4209;4190
"355385 TAQUARIVAI";1324;1330;1338;1351;1366
"355390 TARABAI";1310;1290;1268;1254;1241
"355395 TARUMA";2867;2896;2917;2932;2942
"355400 TATUI";22447;22519;22568;22630;22681
"355410 TAUBATE";53929;54003;54022;54057;54059
"355420 TEJUPA";982;950;911;884;857
"355430 TEODORO SAMPAIO";4487;4452;4425;4423;4429
"355440 TERRA ROXA";1561;1529;1494;1457;1421
"355450 TIETE";6792;6746;6678;6604;6525
"355460 TIMBURI";460;454;446;434;425
"355465 TORRE DE PEDRA";373;359;350;343;338
"355470 TORRINHA";1527;1521;1520;1528;1537
"355475 TRABIJU";324;321;321;318;318
"355480 TREMEMBE";7939;8002;8057;8112;8158
"355490 TRES FRONTEIRAS";940;961;986;1015;1042
"355495 TUIUTI";1012;1020;1027;1036;1044
"355500 TUPA";10221;10167;10115;10097;10093
"355510 TUPI PAULISTA";1854;1872;1897;1931;1968
"355520 TURIUBA";292;289;288;285;287
"355530 TURMALINA";200;190;185;179;178
"355535 UBARANA";1161;1146;1132;1116;1097
"355540 UBATUBA";16873;16882;16904;16969;17054
"355550 UBIRAJARA";973;982;999;1013;1023
"355560 UCHOA";1614;1625;1633;1639;1644
"355570 UNIAO PAULISTA";317;317;314;316;315
"355580 URANIA";1384;1374;1362;1358;1355
"355590 URU";203;206;211;217;223
"355600 URUPES";1969;1972;1976;1989;2009
"355610 VALENTIM GENTIL";2141;2181;2225;2280;2338
"355620 VALINHOS";18896;19036;19164;19294;19415
"355630 VALPARAISO";4230;4245;4260;4272;4275
"355635 VARGEM";1732;1751;1777;1815;1854
"355640 VARGEM GRANDE DO SUL";7499;7417;7336;7256;7188
"355645 VARGEM GRANDE PAULISTA";9695;9722;9736;9729;9710
"355650 VARZEA PAULISTA";22640;22578;22482;22380;22243
"355660 VERA CRUZ";1801;1763;1732;1710;1694
"355670 VINHEDO";12064;12212;12349;12479;12597
"355680 VIRADOURO";3235;3218;3196;3178;3164
"355690 VISTA ALEGRE DO ALTO";1369;1395;1419;1446;1472
"355695 VITORIA BRASIL";296;298;293;288;287
"355700 VOTORANTIM";23173;23262;23324;23393;23436
"355710 VOTUPORANGA";13944;14092;14262;14508;14783
"355715 ZACARIAS";448;457;462;471;470
"355720 CHAVANTES";2375;2356;2343;2326;2313
"355730 ESTIVA GERBI";1955;1959;1962;1975;1991
"Total";7947736;7921979;7889780;7861979;7830825
 Fonte:
 
 Trabalho coordenado pela RIPSA.
 Realização: CGI Demográfico/RIPSA e CGIAE/SVSA/Ministério da Saúde.
 Dados básicos: IBGE
 Baixe os arquivos com os dados de Estimativas Populacionais por Município, Idade e Sexo 2000-2025 a partir do endereço de FTP
 ftp://ftp.datasus.gov.br/dissemin/publicos/IBGE/POPSVS/

