 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2025 - Brasil
População residente por Município e Ano
Unidade da Federação: São Paulo
Idade simples: Menos que 1 ano de idade, 1  ano, 2  anos, 3  anos, 4  anos, 5  anos, 6  anos, 7  anos, 8  anos, 9  anos, 10 anos, 11 anos, 12 anos
Período:2015-2019
"Município";"2015";"2016";"2017";"2018";"2019"
"350990 CANANEIA";2619;2570;2521;2476;2430
"350995 CANAS";1094;1091;1088;1078;1071
"351000 CANDIDO MOTA";5322;5271;5223;5184;5147
"351010 CANDIDO RODRIGUES";394;391;391;390;391
"351015 CANITAR";1207;1223;1238;1256;1281
"351020 CAPAO BONITO";9766;9605;9442;9299;9160
"351030 CAPELA DO ALTO";3822;3837;3865;3912;3966
"351040 CAPIVARI";9766;9675;9575;9471;9366
"351050 CARAGUATATUBA";23475;23919;24313;24659;24956
"351060 CARAPICUIBA";80086;79579;78922;78214;77406
"351070 CARDOSO";1988;1962;1931;1895;1858
"351080 CASA BRANCA";4823;4784;4748;4728;4710
"351090 CASSIA DOS COQUEIROS";456;451;444;439;435
"351100 CASTILHO";3632;3643;3658;3664;3670
"351110 CATANDUVA";18615;18625;18632;18657;18686
"351120 CATIGUA";1278;1270;1259;1242;1221
"351130 CEDRAL";1594;1658;1735;1814;1898
"351140 CERQUEIRA CESAR";3711;3738;3761;3776;3798
"351150 CERQUILHO";7500;7528;7548;7564;7573
"351160 CESARIO LANGE";3277;3324;3358;3386;3401
"351170 CHARQUEADA";2944;2929;2915;2905;2895
"351190 CLEMENTINA";1487;1486;1478;1459;1432
"351200 COLINA";3167;3175;3181;3197;3228
"351210 COLOMBIA";1207;1223;1235;1251;1269
"351220 CONCHAL";5366;5361;5358;5372;5398
"351230 CONCHAS";3081;3019;2953;2888;2821
"351240 CORDEIROPOLIS";4265;4301;4339;4372;4406
"351250 COROADOS";991;992;991;987;980
"351260 CORONEL MACEDO";912;879;844;815;788
"351270 CORUMBATAI";742;738;738;741;750
"351280 COSMOPOLIS";11996;11861;11702;11533;11343
"351290 COSMORAMA";1186;1209;1232;1272;1313
"351300 COTIA";48941;49951;50848;51656;52345
"351310 CRAVINHOS";6074;6013;5943;5874;5803
"351320 CRISTAIS PAULISTA";1583;1599;1623;1644;1671
"351330 CRUZALIA";337;333;327;323;325
"351340 CRUZEIRO";14226;14044;13863;13701;13547
"351350 CUBATAO";24708;24346;23962;23608;23257
"351360 CUNHA";3761;3679;3613;3580;3569
"351370 DESCALVADO";5272;5247;5226;5211;5201
"351380 DIADEMA";78960;77913;76681;75317;73817
"351385 DIRCE REIS";263;259;258;254;250
"351390 DIVINOLANDIA";1664;1638;1619;1615;1615
"351400 DOBRADA";1851;1855;1844;1825;1791
"351410 DOIS CORREGOS";4958;4926;4880;4821;4751
"351420 DOLCINOPOLIS";327;326;323;324;325
"351430 DOURADO";1353;1328;1305;1279;1254
"351440 DRACENA";6650;6646;6657;6697;6749
"351450 DUARTINA";1965;1939;1923;1914;1909
"351460 DUMONT";1621;1621;1620;1618;1614
"351470 ECHAPORA";1139;1128;1122;1124;1131
"351480 ELDORADO";3300;3210;3128;3063;3006
"351490 ELIAS FAUSTO";3260;3261;3267;3276;3294
"351492 ELISIARIO";545;548;550;548;542
"351495 EMBAUBA";398;394;386;383;380
"351500 EMBU DAS ARTES";54425;54046;53585;53098;52543
"351510 EMBU-GUACU";13732;13648;13557;13478;13394
"351512 EMILIANOPOLIS";477;469;462;461;461
"351515 ENGENHEIRO COELHO";3799;3828;3843;3848;3838
"351518 ESPIRITO SANTO DO PINHAL";6641;6514;6395;6302;6220
"351519 ESPIRITO SANTO DO TURVO";926;914;900;891;887
"351520 ESTRELA D'OESTE";1376;1384;1394;1404;1418
"351530 ESTRELA DO NORTE";526;520;519;511;505
"351535 EUCLIDES DA CUNHA PAULISTA";1829;1763;1703;1647;1597
"351540 FARTURA";2886;2880;2874;2873;2872
"351550 FERNANDOPOLIS";10399;10447;10516;10644;10794
"351560 FERNANDO PRESTES";900;902;900;898;895
"351565 FERNAO";292;292;292;291;292
"351570 FERRAZ DE VASCONCELOS";38042;37759;37462;37215;36970
"351580 FLORA RICA";229;229;225;222;222
"351590 FLOREAL";330;324;320;324;325
"351600 FLORIDA PAULISTA";2080;2047;2011;1987;1965
"351610 FLORINEA";482;479;474;471;473
"351620 FRANCA";62901;62717;62511;62411;62322
"351630 FRANCISCO MORATO";37815;37473;37115;36803;36503
"351640 FRANCO DA ROCHA";28577;28558;28497;28427;28325
"351650 GABRIEL MONTEIRO";416;419;423;423;430
"351660 GALIA";1109;1088;1071;1056;1046
"351670 GARCA";7463;7349;7249;7167;7101
"351680 GASTAO VIDIGAL";719;704;681;655;623
"351685 GAVIAO PEIXOTO";911;912;913;918;921
"351690 GENERAL SALGADO";1683;1671;1663;1660;1660
"351700 GETULINA";1700;1660;1618;1583;1547
"351710 GLICERIO";815;795;780;768;757
"351720 GUAICARA";2178;2178;2176;2176;2180
"351730 GUAIMBE";1088;1075;1065;1054;1043
"351740 GUAIRA";6967;6920;6863;6800;6739
"351750 GUAPIACU";3318;3387;3452;3526;3605
"351760 GUAPIARA";3633;3545;3459;3391;3333
"351770 GUARA";4135;4024;3912;3798;3676
"351780 GUARACAI";1229;1190;1155;1128;1106
"351790 GUARACI";2006;1994;1973;1937;1895
"351800 GUARANI D'OESTE";341;337;331;327;325
"351810 GUARANTA";1330;1313;1302;1287;1276
"351820 GUARARAPES";5307;5289;5274;5263;5252
"351830 GUARAREMA";5375;5412;5448;5491;5537
"351840 GUARATINGUETA";19757;19675;19623;19649;19713
"351850 GUAREI";2294;2261;2234;2224;2218
"351860 GUARIBA";7688;7657;7586;7480;7341
"351870 GUARUJA";60651;59843;59002;58218;57425
"351880 GUARULHOS";265071;263046;260757;258583;256266
"351885 GUATAPARA";1501;1492;1476;1463;1447
"351890 GUZOLANDIA";879;857;833;814;797
"351900 HERCULANDIA";1676;1657;1641;1632;1622
"351905 HOLAMBRA";2385;2426;2467;2508;2553
"351907 HORTOLANDIA";42443;42824;43134;43419;43642
"351910 IACANGA";1853;1854;1849;1851;1852
"351920 IACRI";1099;1080;1067;1051;1040
"351925 IARAS";1203;1207;1209;1205;1199
"351930 IBATE";6565;6528;6477;6432;6375
"351940 IBIRA";1936;1944;1948;1950;1952
"351950 IBIRAREMA";1253;1227;1200;1182;1166
"351960 IBITINGA";9787;9868;9957;10083;10232
"351970 IBIUNA";15058;14931;14816;14749;14705
"351980 ICEM";1383;1358;1333;1307;1280
"351990 IEPE";1369;1358;1346;1336;1327
"352000 IGARACU DO TIETE";4320;4264;4208;4153;4108
"352010 IGARAPAVA";5097;5024;4946;4867;4785
"352020 IGARATA";1855;1856;1858;1865;1875
"352030 IGUAPE";5863;5759;5664;5585;5519
"352040 ILHABELA";6606;6654;6673;6661;6618
"352042 ILHA COMPRIDA";1950;1986;2019;2055;2099
"352044 ILHA SOLTEIRA";3956;3934;3915;3904;3899
"352050 INDAIATUBA";41017;41562;42060;42538;42964
"352060 INDIANA";799;799;805;814;825
"352070 INDIAPORA";588;593;596;604;606
"352080 INUBIA PAULISTA";606;597;591;586;578
"352090 IPAUSSU";2820;2795;2760;2726;2684
"352100 IPERO";6586;6677;6757;6827;6887
"352110 IPEUNA";1329;1327;1316;1308;1295
"352115 IPIGUA";951;993;1038;1082;1129
"352120 IPORANGA";954;935;918;897;880
"352130 IPUA";2855;2807;2756;2711;2664
"352140 IRACEMAPOLIS";3802;3797;3792;3794;3786
"352150 IRAPUA";1337;1323;1307;1287;1268
"352160 IRAPURU";944;926;908;899;898
"352170 ITABERA";3504;3449;3401;3368;3341
"352180 ITAI";4976;4963;4951;4944;4941
"352190 ITAJOBI";2328;2359;2400;2452;2519
"352200 ITAJU";660;657;658;668;668
"352210 ITANHAEM";20338;20548;20672;20714;20673
